title,rating,reviews,check
Birth of the Dragon,5.6,8.1K,Birth of the Dragon
A Cinderella Story,5.9,86K,A Cinderella Story
Extraction,6.7,191K,Extraction
Level 16,6.0,11K,Level 16
Open Season 2,5.5,24K,Open Season 2
Wind River,7.7,242K,Wind River
Vivo,6.7,17K,Vivo
Catch Me If You Can,8.1,935K,Catch Me If You Can
Cloudy with a Chance of Meatballs,6.9,225K,Na
Good Luck Chuck,5.6,90K,Good Luck Chuck
Open Season: Scared Silly,5.0,3K,Na
Mighty Express,4.9,112,Mighty Express
Wynonna Earp,7.4,22K,Wynonna Earp
Johnny Test,6.7,324,Johnny Test
American Woman,6.8,6.6K,American Woman
Ratchet and Clank,5.5,11K,Ratchet & Clank
Brick Mansions,5.6,42K,Brick Mansions
Between,5.9,9.1K,Between
"""Kim's Convenience""",8.3,17K,Kim's Convenience
My Little Pony: Friendship Is Magic,7.8,21K,Na
Some Assembly Required,4.5,914,Some Assembly Required
"""Workin' Moms""",7.7,15K,Workin' Moms
The Sum of All Fears,6.4,114K,The Sum of All Fears
Underworld: Awakening,6.3,153K,Underworld: Awakening
The Ice Road,5.6,36K,The Ice Road
"""Schitt's Creek""",8.6,112K,Schitt's Creek
Black Summer,6.5,29K,Black Summer
Red Snow,5.4,1K,Red Snow
Wish Dragon,7.2,24K,Wish Dragon
Copenhagen,7.1,13K,Copenhagen
Cloudburst,7.2,2.3K,Cloudburst
Population 436,5.7,12K,Population 436
The Adventures of Sonic the Hedgehog,6.2,3.8K,Na
The Magic School Bus,7.8,9.7K,The Magic School Bus
Table Manners,5.1,43,Table Manners
JT LeRoy,5.4,2.4K,JT LeRoy
The Yeti Adventures,5.1,439,A Yeti Adventure
Oloibiri,5.2,184,Oloibiri
Miss Sloane,7.5,73K,Miss Sloane
Crimson Peak,6.5,144K,Crimson Peak
Slasher,6.7,14K,Slasher
Escape from Planet Earth,5.8,26K,Na
An American Girl: McKenna Shoots for the Stars,5.7,789,Na
Insidious,6.8,300K,Insidious
Into the Grizzly Maze,5.3,9.8K,Into the Grizzly Maze
